timestep_ms,direction,progress_step,elapsed_ms,dipole_x_mm,dipole_y_mm,reference_potential,integer_value,reconstructed_potential,error,absolute_error
100,A_TO_B,0,0,0,0,0.471869498,4718695,0.4718695,1.50871276583e-09,1.50871276583e-09
100,A_TO_B,1,100,0.600000024,0,0.575971961,5759720,0.575972,3.89785766997e-08,3.89785766997e-08
100,A_TO_B,2,200,1.20000005,0,0.717742503,7177425,0.7177425,-2.68936162229e-09,2.68936162229e-09
100,A_TO_B,3,300,1.80000007,0,0.91703856,9170386,0.9170386,4.00863647831e-08,4.00863647831e-08
100,A_TO_B,4,400,2.4000001,0,1.20784843,12078484,1.2078484,-2.96798705612e-08,2.96798705612e-08
100,A_TO_B,5,500,3,0,1.65070891,16507089,1.6507089,-1.38031006625e-08,1.38031006625e-08
100,A_TO_B,6,600,3.60000014,0,2.35548496,23554850,2.355485,3.75366209227e-08,3.75366209227e-08
100,A_TO_B,7,700,4.20000029,0,3.50487685,35048769,3.5048769,4.79644777229e-08,4.79644777229e-08
100,A_TO_B,8,800,4.80000019,0,5.19494009,51949401,5.1949401,9.8205568122e-09,9.8205568122e-09
100,A_TO_B,9,900,5.4000001,0,5.67458487,56745849,5.6745849,3.44299317945e-08,3.44299317945e-08
100,B_TO_A,0,0,6,0,-1.80000007,-18000001,-1.8000001,-2.84744263723e-08,2.84744263723e-08
100,B_TO_A,1,100,5.4000001,0,-7.94441938,-79444194,-7.9444194,-1.59973145841e-08,1.59973145841e-08
100,B_TO_A,2,200,4.80000019,0,-6.13947439,-61394744,-6.1394744,-8.06274425003e-09,8.06274425003e-09
100,B_TO_A,3,300,4.19999981,0,-3.91721368,-39172137,-3.9172137,-2.16400146691e-08,2.16400146691e-08
100,B_TO_A,4,400,3.5999999,0,-2.56030941,-25603094,-2.5603094,1.00952148863e-08,1.00952148863e-08
100,B_TO_A,5,500,3,0,-1.76455104,-17645510,-1.764551,4.35104370311e-08,4.35104370311e-08
100,B_TO_A,6,600,2.39999986,0,-1.2768681,-12768681,-1.2768681,4.93469243246e-09,4.93469243246e-09
100,B_TO_A,7,700,1.79999971,0,-0.961771667,-9617717,-0.9617717,-3.29963684154e-08,3.29963684154e-08
100,B_TO_A,8,800,1.19999981,0,-0.748284698,-7482847,-0.7482847,-2.46734621623e-09,2.46734621623e-09
100,B_TO_A,9,900,0.599999905,0,-0.597706676,-5977067,-0.5977067,-2.44705200547e-08,2.44705200547e-08
