timestep_ms,direction,progress_step,elapsed_ms,dipole_x_mm,dipole_y_mm,reference_potential,integer_value,reconstructed_potential,error,absolute_error
20,A_TO_B,0,0,0,0,0.471869498,4718695,0.4718695,1.50871276583e-09,1.50871276583e-09
20,A_TO_B,1,20,0.120000005,0,0.49033621,4903362,0.4903362,-9.53559875505e-09,9.53559875505e-09
20,A_TO_B,2,40,0.24000001,0,0.509890079,5098901,0.5098901,2.05017089971e-08,2.05017089971e-08
20,A_TO_B,3,60,0.360000014,0,0.530616581,5306166,0.5306166,1.856002807e-08,1.856002807e-08
20,A_TO_B,4,80,0.480000019,0,0.552609563,5526096,0.5526096,3.71261597021e-08,3.71261597021e-08
20,A_TO_B,5,100,0.600000024,0,0.575971961,5759720,0.575972,3.89785766997e-08,3.89785766997e-08
20,A_TO_B,6,120,0.720000029,0,0.600817561,6008176,0.6008176,3.88504027837e-08,3.88504027837e-08
20,A_TO_B,7,140,0.840000033,0,0.627271414,6272714,0.6272714,-1.38031005514e-08,1.38031005514e-08
20,A_TO_B,8,160,0.960000038,0,0.655471861,6554719,0.6554719,3.86375427208e-08,3.86375427208e-08
20,A_TO_B,9,180,1.08000004,0,0.685572445,6855724,0.6855724,-4.53926086719e-08,4.53926086719e-08
20,A_TO_B,10,200,1.20000005,0,0.717742503,7177425,0.7177425,-2.68936162229e-09,2.68936162229e-09
20,A_TO_B,11,220,1.32000005,0,0.752170861,7521709,0.7521709,3.92326354737e-08,3.92326354737e-08
20,A_TO_B,12,240,1.44000006,0,0.78906703,7890670,0.789067,-2.99530029668e-08,2.99530029668e-08
20,A_TO_B,13,260,1.56000018,0,0.828665018,8286650,0.828665,-1.80816650541e-08,1.80816650541e-08
20,A_TO_B,14,280,1.68000007,0,0.871224761,8712248,0.8712248,3.89907837128e-08,3.89907837128e-08
20,A_TO_B,15,300,1.80000007,0,0.91703856,9170386,0.9170386,4.00863647831e-08,4.00863647831e-08
20,A_TO_B,16,320,1.92000008,0,0.966432214,9664322,0.9664322,-1.37832641967e-08,1.37832641967e-08
20,A_TO_B,17,340,2.03999996,0,1.01977241,10197724,1.0197724,-1.03927613182e-08,1.03927613182e-08
20,A_TO_B,18,360,2.16000009,0,1.0774703,10774703,1.0774703,-2.58178700641e-09,2.58178700641e-09
20,A_TO_B,19,380,2.28000021,0,1.13998854,11399885,1.1399885,-4.16030883077e-08,4.16030883077e-08
20,A_TO_B,20,400,2.4000001,0,1.20784843,12078484,1.2078484,-2.96798705612e-08,2.96798705612e-08
20,A_TO_B,21,420,2.51999998,0,1.28163779,12816378,1.2816378,1.21810912468e-08,1.21810912468e-08
20,A_TO_B,22,440,2.6400001,0,1.36202013,13620201,1.3620201,-3.49258422183e-08,3.49258422183e-08
20,A_TO_B,23,460,2.75999999,0,1.44974434,14497443,1.4497443,-4.37576292978e-08,4.37576292978e-08
20,A_TO_B,24,480,2.88000011,0,1.54565597,15456560,1.545656,3.41949462079e-08,3.41949462079e-08
20,A_TO_B,25,500,3,0,1.65070891,16507089,1.6507089,-1.38031006625e-08,1.38031006625e-08
20,A_TO_B,26,520,3.12000036,0,1.76597822,17659782,1.7659782,-1.71249390224e-08,1.71249390224e-08
20,A_TO_B,27,540,3.24000025,0,1.8926692,18926692,1.8926692,-8.97216745344e-10,8.97216745344e-10
20,A_TO_B,28,560,3.36000013,0,2.03213,20321300,2.03213,-2.97546387529e-09,2.97546387529e-09
20,A_TO_B,29,580,3.48000026,0,2.18585587,21858559,2.1858559,3.45214843378e-08,3.45214843378e-08
20,A_TO_B,30,600,3.60000014,0,2.35548496,23554850,2.355485,3.75366209227e-08,3.75366209227e-08
20,A_TO_B,31,620,3.72000003,0,2.54278493,25427849,2.5427849,-2.92755126807e-08,2.92755126807e-08
20,A_TO_B,32,640,3.84000015,0,2.74960899,27496090,2.749609,6.46972653229e-09,6.46972653229e-09
20,A_TO_B,33,660,3.96000004,0,2.97781515,29778152,2.9778152,4.87854006082e-08,4.87854006082e-08
20,A_TO_B,34,680,4.07999992,0,3.22912502,32291250,3.229125,-2.28881837927e-08,2.28881837927e-08
20,A_TO_B,35,700,4.20000029,0,3.50487685,35048769,3.5048769,4.79644777229e-08,4.79644777229e-08
20,A_TO_B,36,720,4.32000017,0,3.80562019,38056202,3.8056202,6.518554585e-09,6.518554585e-09
20,A_TO_B,37,740,4.44000006,0,4.13048267,41304827,4.1304827,2.63549804203e-08,2.63549804203e-08
20,A_TO_B,38,760,4.56000042,0,4.47616768,44761677,4.4761677,2.11669926031e-08,2.11669926031e-08
20,A_TO_B,39,780,4.68000031,0,4.83544254,48354425,4.8354425,-4.30297850684e-08,4.30297850684e-08
20,A_TO_B,40,800,4.80000019,0,5.19494009,51949401,5.1949401,9.8205568122e-09,9.8205568122e-09
20,A_TO_B,41,820,4.92000008,0,5.53210688,55321069,5.5321069,2.36267085896e-08,2.36267085896e-08
20,A_TO_B,42,840,5.03999996,0,5.81134224,58113422,5.8113422,-3.93798824661e-08,3.93798824661e-08
20,A_TO_B,43,860,5.15999985,0,5.97982454,59798245,5.9798245,-4.29992672579e-08,4.29992672579e-08
20,A_TO_B,44,880,5.28000021,0,5.9646492,59646492,5.9646492,-4.39452918499e-10,4.39452918499e-10
20,A_TO_B,45,900,5.4000001,0,5.67458487,56745849,5.6745849,3.44299317945e-08,3.44299317945e-08
20,A_TO_B,46,920,5.51999998,0,5.01171827,50117183,5.0117183,2.68371582735e-08,2.68371582735e-08
20,A_TO_B,47,940,5.64000034,0,3.89814878,38981488,3.8981488,2.48992919616e-08,2.48992919616e-08
20,A_TO_B,48,960,5.76000023,0,2.31695557,23169556,2.3169556,3.3593750004e-08,3.3593750004e-08
20,A_TO_B,49,980,5.88000011,0,0.352359653,3523597,0.3523597,4.74807739237e-08,4.74807739237e-08
20,B_TO_A,0,0,6,0,-1.80000007,-18000001,-1.8000001,-2.84744263723e-08,2.84744263723e-08
20,B_TO_A,1,20,5.88000011,0,-3.87597609,-38759761,-3.8759761,-1.43371581274e-08,1.43371581274e-08
20,B_TO_A,2,40,5.76000023,0,-5.62689781,-56268978,-5.6268978,1.1889648377e-08,1.1889648377e-08
20,B_TO_A,3,60,5.63999987,0,-6.89673281,-68967328,-6.8967328,7.15942416463e-09,7.15942416463e-09
20,B_TO_A,4,80,5.51999998,0,-7.64946461,-76494646,-7.6494646,7.23876958375e-09,7.23876958375e-09
20,B_TO_A,5,100,5.4000001,0,-7.94441938,-79444194,-7.9444194,-1.59973145841e-08,1.59973145841e-08
20,B_TO_A,6,120,5.27999973,0,-7.88872862,-78887286,-7.8887286,1.86218258591e-08,1.86218258591e-08
20,B_TO_A,7,140,5.15999985,0,-7.59599304,-75959930,-7.595993,4.1992187505e-08,4.1992187505e-08
20,B_TO_A,8,160,5.03999996,0,-7.162817,-71628170,-7.162817,1.3427730039e-09,1.3427730039e-09
20,B_TO_A,9,180,4.92000008,0,-6.66110897,-66611090,-6.661109,-2.93579098809e-08,2.93579098809e-08
