timestep_ms,direction,progress_step,elapsed_ms,dipole_x_mm,dipole_y_mm,reference_potential,integer_value,reconstructed_potential,error,absolute_error
20,B_TO_A,10,200,4.80000019,0,-6.13947439,-61394744,-6.1394744,-8.06274425003e-09,8.06274425003e-09
20,B_TO_A,11,220,4.67999983,0,-5.62813616,-56281362,-5.6281362,-4.20104981913e-08,4.20104981913e-08
20,B_TO_A,12,240,4.55999994,0,-5.1442523,-51442523,-5.1442523,2.62451393951e-10,2.62451393951e-10
20,B_TO_A,13,260,4.43999958,0,-4.69630051,-46963005,-4.6963005,6.59179644202e-09,6.59179644202e-09
20,B_TO_A,14,280,4.31999969,0,-4.28734255,-42873425,-4.2873425,4.83703610499e-08,4.83703610499e-08
20,B_TO_A,15,300,4.19999981,0,-3.91721368,-39172137,-3.9172137,-2.16400146691e-08,2.16400146691e-08
20,B_TO_A,16,320,4.07999992,0,-3.58397388,-35839739,-3.5839739,-1.54174806255e-08,1.54174806255e-08
20,B_TO_A,17,340,3.96000004,0,-3.28480649,-32848065,-3.2848065,-1.00555421767e-08,1.00555421767e-08
20,B_TO_A,18,360,3.83999991,0,-3.01656055,-30165606,-3.0165606,-4.54956055052e-08,4.54956055052e-08
20,B_TO_A,19,380,3.71999979,0,-2.77606726,-27760673,-2.7760673,-4.3072509559e-08,4.3072509559e-08
20,B_TO_A,20,400,3.5999999,0,-2.56030941,-25603094,-2.5603094,1.00952148863e-08,1.00952148863e-08
20,B_TO_A,21,420,3.48000002,0,-2.36650467,-23665047,-2.3665047,-3.08105470026e-08,3.08105470026e-08
20,B_TO_A,22,440,3.3599999,0,-2.19213986,-21921399,-2.1921399,-3.60321044113e-08,3.60321044113e-08
20,B_TO_A,23,460,3.24000001,0,-2.03497505,-20349751,-2.0349751,-4.81201172242e-08,4.81201172242e-08
20,B_TO_A,24,480,3.11999989,0,-1.89302671,-18930267,-1.8930267,9.55657952773e-09,9.55657952773e-09
20,B_TO_A,25,500,3,0,-1.76455104,-17645510,-1.764551,4.35104370311e-08,4.35104370311e-08
20,B_TO_A,26,520,2.87999964,0,-1.64801657,-16480166,-1.6480166,-2.80014038623e-08,2.80014038623e-08
20,B_TO_A,27,540,2.75999975,0,-1.54208434,-15420843,-1.5420843,3.62808227905e-08,3.62808227905e-08
20,B_TO_A,28,560,2.63999987,0,-1.44557941,-14455794,-1.4455794,9.59930424038e-09,9.59930424038e-09
20,B_TO_A,29,580,2.51999974,0,-1.35747409,-13574741,-1.3574741,-1.13311766636e-08,1.13311766636e-08
20,B_TO_A,30,600,2.39999986,0,-1.2768681,-12768681,-1.2768681,4.93469243246e-09,4.93469243246e-09
20,B_TO_A,31,620,2.27999997,0,-1.20297122,-12029712,-1.2029712,2.00164795849e-08,2.00164795849e-08
20,B_TO_A,32,640,2.15999985,0,-1.13508904,-11350890,-1.135089,3.98025512549e-08,3.98025512549e-08
20,B_TO_A,33,660,2.03999996,0,-1.07261038,-10726104,-1.0726104,-2.17346192155e-08,2.17346192155e-08
20,B_TO_A,34,680,1.92000008,0,-1.01499677,-10149968,-1.0149968,-3.29559326495e-08,3.29559326495e-08
20,B_TO_A,35,700,1.79999971,0,-0.961771667,-9617717,-0.9617717,-3.29963684154e-08,3.29963684154e-08
20,B_TO_A,36,720,1.67999983,0,-0.912514925,-9125149,-0.9125149,2.50030517401e-08,2.50030517401e-08
20,B_TO_A,37,740,1.55999994,0,-0.866852045,-8668520,-0.866852,4.50592041457e-08,4.50592041457e-08
20,B_TO_A,38,760,1.43999958,0,-0.824451029,-8244510,-0.824451,2.93006896523e-08,2.93006896523e-08
20,B_TO_A,39,780,1.31999969,0,-0.785016656,-7850167,-0.7850167,-4.40780639765e-08,4.40780639765e-08
20,B_TO_A,40,800,1.19999981,0,-0.748284698,-7482847,-0.7482847,-2.46734621623e-09,2.46734621623e-09
20,B_TO_A,41,820,1.07999992,0,-0.714019418,-7140194,-0.7140194,1.77627563769e-08,1.77627563769e-08
20,B_TO_A,42,840,0.960000038,0,-0.68200922,-6820092,-0.6820092,2.01232910335e-08,2.01232910335e-08
20,B_TO_A,43,860,0.840000153,0,-0.6520648,-6520648,-0.6520648,2.62451171906e-10,2.62451171906e-10
20,B_TO_A,44,880,0.71999979,0,-0.624015033,-6240150,-0.624015,3.32450866836e-08,3.32450866836e-08
20,B_TO_A,45,900,0.599999905,0,-0.597706676,-5977067,-0.5977067,-2.44705200547e-08,2.44705200547e-08
20,B_TO_A,46,920,0.480000019,0,-0.573001027,-5730010,-0.573001,2.7107238787e-08,2.7107238787e-08
20,B_TO_A,47,940,0.359999657,0,-0.549772382,-5497724,-0.5497724,-1.82174683117e-08,1.82174683117e-08
20,B_TO_A,48,960,0.239999771,0,-0.527907431,-5279074,-0.5279074,3.11256408425e-08,3.11256408425e-08
20,B_TO_A,49,980,0.119999886,0,-0.50730288,-5073029,-0.5073029,-1.97128295909e-08,1.97128295909e-08
