timestep_ms,direction,progress_step,elapsed_ms,dipole_x_mm,dipole_y_mm,reference_potential,integer_value,reconstructed_potential,error,absolute_error
50,A_TO_B,0,0,0,0,0.471869498,4718695,0.4718695,1.50871276583e-09,1.50871276583e-09
50,A_TO_B,1,50,0.300000012,0,0.52010119,5201012,0.5201012,1.03866577561e-08,1.03866577561e-08
50,A_TO_B,2,100,0.600000024,0,0.575971961,5759720,0.575972,3.89785766997e-08,3.89785766997e-08
50,A_TO_B,3,150,0.900000036,0,0.641144097,6411441,0.6411441,3.14865111761e-09,3.14865111761e-09
50,A_TO_B,4,200,1.20000005,0,0.717742503,7177425,0.7177425,-2.68936162229e-09,2.68936162229e-09
50,A_TO_B,5,250,1.5,0,0.808512628,8085126,0.8085126,-2.80784606677e-08,2.80784606677e-08
50,A_TO_B,6,300,1.80000007,0,0.91703856,9170386,0.9170386,4.00863647831e-08,4.00863647831e-08
50,A_TO_B,7,350,2.10000014,0,1.04804897,10480490,1.048049,2.69165039146e-08,2.69165039146e-08
50,A_TO_B,8,400,2.4000001,0,1.20784843,12078484,1.2078484,-2.96798705612e-08,2.96798705612e-08
50,A_TO_B,9,450,2.70000005,0,1.40491402,14049140,1.404914,-2.14920043984e-08,2.14920043984e-08
50,A_TO_B,10,500,3,0,1.65070891,16507089,1.6507089,-1.38031006625e-08,1.38031006625e-08
50,A_TO_B,11,550,3.30000019,0,1.96071327,19607133,1.9607133,3.26736451228e-08,3.26736451228e-08
50,A_TO_B,12,600,3.60000014,0,2.35548496,23554850,2.355485,3.75366209227e-08,3.75366209227e-08
50,A_TO_B,13,650,3.9000001,0,2.86092615,28609262,2.8609262,4.87243654312e-08,4.87243654312e-08
50,A_TO_B,14,700,4.20000029,0,3.50487685,35048769,3.5048769,4.79644777229e-08,4.79644777229e-08
50,A_TO_B,15,750,4.50000048,0,4.30106115,43010612,4.3010612,4.65881351275e-08,4.65881351275e-08
50,A_TO_B,16,800,4.80000019,0,5.19494009,51949401,5.1949401,9.8205568122e-09,9.8205568122e-09
50,A_TO_B,17,850,5.10000038,0,5.91350174,59135017,5.9135017,-3.95019528199e-08,3.95019528199e-08
50,A_TO_B,18,900,5.4000001,0,5.67458487,56745849,5.6745849,3.44299317945e-08,3.44299317945e-08
50,A_TO_B,19,950,5.70000029,0,3.16345954,31634595,3.1634595,-3.94134520576e-08,3.94134520576e-08
50,B_TO_A,0,0,6,0,-1.80000007,-18000001,-1.8000001,-2.84744263723e-08,2.84744263723e-08
50,B_TO_A,1,50,5.69999981,0,-6.32692814,-63269281,-6.3269281,3.87329102125e-08,3.87329102125e-08
50,B_TO_A,2,100,5.4000001,0,-7.94441938,-79444194,-7.9444194,-1.59973145841e-08,1.59973145841e-08
50,B_TO_A,3,150,5.0999999,0,-7.39187527,-73918753,-7.3918753,-3.29711911107e-08,3.29711911107e-08
50,B_TO_A,4,200,4.80000019,0,-6.13947439,-61394744,-6.1394744,-8.06274425003e-09,8.06274425003e-09
50,B_TO_A,5,250,4.5,0,-4.9154973,-49154973,-4.9154973,3.00903302275e-09,3.00903302275e-09
50,B_TO_A,6,300,4.19999981,0,-3.91721368,-39172137,-3.9172137,-2.16400146691e-08,2.16400146691e-08
50,B_TO_A,7,350,3.89999986,0,-3.14701796,-31470180,-3.147018,-4.42199707962e-08,4.42199707962e-08
50,B_TO_A,8,400,3.5999999,0,-2.56030941,-25603094,-2.5603094,1.00952148863e-08,1.00952148863e-08
50,B_TO_A,9,450,3.29999995,0,-2.11153698,-21115370,-2.111537,-2.03247072506e-08,2.03247072506e-08
50,B_TO_A,10,500,3,0,-1.76455104,-17645510,-1.764551,4.35104370311e-08,4.35104370311e-08
50,B_TO_A,11,550,2.69999981,0,-1.49272084,-14927208,-1.4927208,4.23614501255e-08,4.23614501255e-08
50,B_TO_A,12,600,2.39999986,0,-1.2768681,-12768681,-1.2768681,4.93469243246e-09,4.93469243246e-09
50,B_TO_A,13,650,2.0999999,0,-1.10320938,-11032094,-1.1032094,-2.36648558527e-08,2.36648558527e-08
50,B_TO_A,14,700,1.79999971,0,-0.961771667,-9617717,-0.9617717,-3.29963684154e-08,3.29963684154e-08
50,B_TO_A,15,750,1.49999952,0,-0.845262945,-8452629,-0.8452629,4.4698333701e-08,4.4698333701e-08
50,B_TO_A,16,800,1.19999981,0,-0.748284698,-7482847,-0.7482847,-2.46734621623e-09,2.46734621623e-09
50,B_TO_A,17,850,0.899999619,0,-0.666789711,-6667897,-0.6667897,1.05216979573e-08,1.05216979573e-08
50,B_TO_A,18,900,0.599999905,0,-0.597706676,-5977067,-0.5977067,-2.44705200547e-08,2.44705200547e-08
50,B_TO_A,19,950,0.299999714,0,-0.538676202,-5386762,-0.5386762,2.29721064393e-09,2.29721064393e-09
