timestep_ms,direction,progress_step,elapsed_ms,dipole_x_mm,dipole_y_mm,reference_potential,integer_value,reconstructed_potential,error,absolute_error
200,A_TO_B,0,0,0,0,0.471869498,4718695,0.4718695,1.50871276583e-09,1.50871276583e-09
200,A_TO_B,1,200,1.20000005,0,0.717742503,7177425,0.7177425,-2.68936162229e-09,2.68936162229e-09
200,A_TO_B,2,400,2.4000001,0,1.20784843,12078484,1.2078484,-2.96798705612e-08,2.96798705612e-08
200,A_TO_B,3,600,3.60000014,0,2.35548496,23554850,2.355485,3.75366209227e-08,3.75366209227e-08
200,A_TO_B,4,800,4.80000019,0,5.19494009,51949401,5.1949401,9.8205568122e-09,9.8205568122e-09
200,B_TO_A,0,0,6,0,-1.80000007,-18000001,-1.8000001,-2.84744263723e-08,2.84744263723e-08
200,B_TO_A,1,200,4.80000019,0,-6.13947439,-61394744,-6.1394744,-8.06274425003e-09,8.06274425003e-09
200,B_TO_A,2,400,3.5999999,0,-2.56030941,-25603094,-2.5603094,1.00952148863e-08,1.00952148863e-08
200,B_TO_A,3,600,2.39999986,0,-1.2768681,-12768681,-1.2768681,4.93469243246e-09,4.93469243246e-09
200,B_TO_A,4,800,1.19999981,0,-0.748284698,-7482847,-0.7482847,-2.46734621623e-09,2.46734621623e-09
